"","language_id","term_id","term","term_abbreviation","language_name","language_location","continent","field_worker_1","field_worker_2","field_worker_3","Unnamed..6","Unnamed..7"
"21",2,12,"kunimaara","KU","Agarabi","Papua New Guinea","Oceania","J. Goddard and L. Luff","Scott Merrifield and Bruce Hansen","Bruce Hansen","Agarabi_DAT_new.txt","new"
"22",2,13,"maa(h)paraah","MP","Agarabi","Papua New Guinea","Oceania","J. Goddard and L. Luff","Scott Merrifield and Bruce Hansen","Bruce Hansen","Agarabi_DAT_new.txt","new"
"23",2,14,"naarareh","NR","Agarabi","Papua New Guinea","Oceania","J. Goddard and L. Luff","Scott Merrifield and Bruce Hansen","Bruce Hansen","Agarabi_DAT_new.txt","new"
"24",2,15,"pihtakun","PH","Agarabi","Papua New Guinea","Oceania","J. Goddard and L. Luff","Scott Merrifield and Bruce Hansen","Bruce Hansen","Agarabi_DAT_new.txt","new"
"25",2,16,"punemun","PN","Agarabi","Papua New Guinea","Oceania","J. Goddard and L. Luff","Scott Merrifield and Bruce Hansen","Bruce Hansen","Agarabi_DAT_new.txt","new"
"26",2,17,"tohkon(ten)","TK","Agarabi","Papua New Guinea","Oceania","J. Goddard and L. Luff","Scott Merrifield and Bruce Hansen","Bruce Hansen","Agarabi_DAT_new.txt","new"
"27",2,18,"tunkara","TU","Agarabi","Papua New Guinea","Oceania","J. Goddard and L. Luff","Scott Merrifield and Bruce Hansen","Bruce Hansen","Agarabi_DAT_new.txt","new"
"28",2,19,"uhkaran","UN","Agarabi","Papua New Guinea","Oceania","J. Goddard and L. Luff","Scott Merrifield and Bruce Hansen","Bruce Hansen","Agarabi_DAT_new.txt","new"
"29",2,20,"witipe","WT","Agarabi","Papua New Guinea","Oceania","J. Goddard and L. Luff","Scott Merrifield and Bruce Hansen","Bruce Hansen","Agarabi_DAT_new.txt","new"
"30",2,21,"yaaenaa(ren)","YN","Agarabi","Papua New Guinea","Oceania","J. Goddard and L. Luff","Scott Merrifield and Bruce Hansen","Bruce Hansen","Agarabi_DAT_new.txt","new"
"31",2,22,"totuih","TO","Agarabi","Papua New Guinea","Oceania","J. Goddard and L. Luff","Scott Merrifield and Bruce Hansen","Bruce Hansen","Agarabi_DAT_new.txt","new"
"32",2,23,"tinaan(ten)","TI","Agarabi","Papua New Guinea","Oceania","J. Goddard and L. Luff","Scott Merrifield and Bruce Hansen","Bruce Hansen","Agarabi_DAT_new.txt","new"
"33",2,24,"kaah","KH","Agarabi","Papua New Guinea","Oceania","J. Goddard and L. Luff","Scott Merrifield and Bruce Hansen","Bruce Hansen","Agarabi_DAT_new.txt","new"
"34",2,25,"awitih","AI","Agarabi","Papua New Guinea","Oceania","J. Goddard and L. Luff","Scott Merrifield and Bruce Hansen","Bruce Hansen","Agarabi_DAT_new.txt","new"
"35",2,26,"yari(h)","YR","Agarabi","Papua New Guinea","Oceania","J. Goddard and L. Luff","Scott Merrifield and Bruce Hansen","Bruce Hansen","Agarabi_DAT_new.txt","new"
"36",2,27,"kawaar(ren)","KW","Agarabi","Papua New Guinea","Oceania","J. Goddard and L. Luff","Scott Merrifield and Bruce Hansen","Bruce Hansen","Agarabi_DAT_new.txt","new"
"37",3,1,"melatak","EL","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"38",3,2,"mengitet","NG","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"39",3,3,"medingat","AT","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"40",3,4,"dilaw","DA","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"41",3,5,"medideg","ED","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"42",3,6,"berde","BA","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"43",3,7,"asul","AA","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"44",3,8,"grin","IN","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"45",3,9,"blu","LU","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"46",3,10,"yelo","LO","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"47",3,11,"rosas","RA","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"48",3,12,"koman i don","ID","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"49",3,13,"pegay","AY","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"50",3,14,"abu","BU","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"51",3,15,"pensél","PA","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"52",3,16,"dagat","GA","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"53",3,17,"langit","IT","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"54",3,18,"apanget","ET","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"55",3,19,"péga","PG","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"56",3,20,"patodilaw","AW","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"57",3,21,"gris","IS","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"58",3,22,"manta","TA","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"59",3,23,"ulap","AP","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"60",3,24,"diget","DI","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"61",3,25,"kape","KA","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"62",3,26,"kundiman","AN","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"63",3,27,"inggon","ON","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"64",3,28,"medéhéng","MD","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"65",3,29,"medégdég","MG","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
"66",3,30,"uging","UG","Casiguran Agta","Philippines","Asia","Thomas N. Headland","Jason D. Patent","*","Agta_DAT_new.txt","new"
